durofel,color,max_brix,Variety
77.17,2.146,26,5
75.34,3.698,25.8,13
78.95,2.93,25,5
78.04,2.998,27.5,5
72.76,3.166,27,5
78,2.486,27,13
77.02,2.999,26,5
79.19,3.1372,26,13
72.69,2.506,27,14
78.6,2.838,26,5
78.6,2.972,27,5
78.18,3.144,27,5
78.6,2.576,27,13
76.46,2.867,17.2,5
78.94,3.113,16.5,13
77.93,3.572,27,13
77.37,3.234,27,11
74.22,3.346,24.8,13
76.36,2.883,18.2,5
73.8,3.015,16.5,14
73.76,3.158,17.8,11
77.26,3.039,19,5
75.77,3.139,17.1,5
76.05,2.957,17.5,5
75.83,2.886,19.4,13
75.35,2.393,18,13
76.67,2.295,18,5
78.42,2.937,19,13
78.42,3.036,20.8,13
71.11,4.94,19,2
75.77,3.095,18.8,5
77.41,2.441,23.5,13
77.59,3.092,21.4,13
77.97,4.114,20,2
76.25,2.907,19,5
76.95,3.206,19,5
72.69,2.368,19,5
76.01,3.251,21.9,13
78.32,3.931,19,2
71.85,3.138,19,5
79.51,3.32,21.8,13
74.78,2.669,20,5
72.3,2.861,19.8,13
76.6,2.985,20,11
73.8,2.813,22.6,13
73.95,2.884,22,5
77.97,2.889,22,13
76.88,3.266,18,5
77.83,3.125,20,5
76.26,2.71,20,5
75.48,3.162,21,5
76.75,2.87,20,5
78.7,3.407,18.8,13
71.43,4.44,20,2
76.53,3.422,18.4,13
78.42,2.747,20,5
78.5,2.833,20,13
79.72,2.975,20,5
72.9,3.061,25.2,13
74.09,3.45,21.7,13
72.82,1.967,23,5
75.84,4.124,25.6,13
76.92,2.986,22.4,18
72.72,3.213,17.8,5
78.6,3.096,20,3
75.14,2.814,22.3,5
74.05,3.215,20,5
71.04,2.711,23.3,5
71.61,2.924,21,13
78,4.38,23,13
79.51,2.856,23,13
78.32,3.115,21.5,5
76.99,3.098,23,13
76.43,2.387,23,13
75.1,2.958,23,5
75.77,3.307,18,5
75.38,3.406,20.8,5
78.74,2.975,22.3,5
75.98,2.927,22,5
75.77,4.511,24.2,13
77.97,3.839,20.2,2
76.53,2.354,22.5,5
73.94,4.331,22.5,13
76.89,3.107,23,5
72.83,3.037,22.8,5
73.46,2.797,22.9,5
74.11,2.934,22.3,5
73.46,2.847,23,5
74.71,2.974,23,3
76.26,3.068,17.6,5
78.6,2.622,24,5
77.17,3.203,21.6,13
73.8,4.206,16.7,2
76.78,2.839,22.1,11
76.89,3,17.5,5
78.5,2.311,17.2,5
78.81,3.041,25.3,13
75.34,3.086,18.5,5
77.17,3.189,18.3,5
77.41,3.226,18.5,5
78.11,2.453,19.6,5
77.1,2.545,22,5
73.71,2.781,18,5
73.83,2.416,17.8,5
75.2,2.757,18,5
78.67,4.125,24.4,13
74.82,3.288,20.6,13
76.05,2.844,19,13
75.2,3.042,19.4,5
74.78,2.997,21.5,5
74.78,3.072,19.7,5
76.99,2.675,20,5
74.44,2.997,27,13
76.43,3.092,18.5,13
76.81,3.165,22.8,15
77.41,3.216,17.6,5
72.51,2.984,19,5
74.61,3.561,17.8,5
73.77,2.931,22.3,5
76.25,3.502,23,13
75.77,3.202,18.4,5
77.26,3.218,19.8,5
75.38,3.232,24.8,13
73.95,3.797,24.8,5
