durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_red,color_red_brown,color_brown,color_black,color_dark_brown,brix_red,brix_dark_brown,brix_brown,brix_black,Temperature_Outside,Temperature_Frut,Variety
14,21,46,18,27.8,0,66.6,0,5.6,14.4,0,18.1,0,23.5,22.3,5
11,19,48,22,31,0,69,0,16,0,19.6,0,23.7,20,0,11
21,29,36,14,10.8,0,89.2,0,0,21.8,0,23.7,18.2,0,0,3
25,7,39,29,6.8,0,84.7,0,8.5,0,18,15.9,0,22.8,20,3
4,11,75,11,4.6,0,87.2,0,8.2,0,18.6,17.4,0,21,19.5,13
32,7,39,21,22.7,0,77.3,0,16.3,0,19.5,0,20.8,19.8,2.5,13
37,37,7,19,8.5,0,91.5,0,15.2,0,16.8,0,22,20,0.4,3
25,18,36,21,9.3,0,70.4,0,20.3,0,21.5,19.3,0,22,18,3
29,18,25,29,20.8,0,77.7,0,1.5,15.9,0,19.5,0,23.3,19.8,5
18,25,32,25,3.5,0,76.5,0,20,0,17.5,16.5,0,21,20,3
18,25,21,36,8.4,0,87.9,0,3.7,0,23.8,0,22,21,0,5
10,10,62,17,21.7,0,76.2,0,2.1,20.3,0,21.8,0,20,20,5
7,17,55,21,2.3,0,97.7,0,0,22.7,0,22,20,0,0,13
14,11,36,39,15,0,80.9,0,4.1,17,0,24.9,0,22,20,12
17,34,21,28,7.2,0,88.5,0,4.3,16,0,17.4,0,22,19.8,5
14,14,54,18,9.1,0,85.9,0,5,17.5,0,19,0,22.4,22,3
29,18,32,21,3.2,0,83.6,0,13.2,0,22.4,20.7,0,20.8,21,3
23,3,60,13,7.3,0,82.5,0,10.2,0,17.8,17.6,0,22.7,20,3
18,7,50,25,25.8,0,74.2,0,20.4,0,22.1,0,24,19.2,0.5,3
0,14,82,4,4.2,0,88.2,0,7.6,0,16.8,0,22,19.5,0,3
7,4,82,7,93.7,0,6.3,0,15.8,0,0,21.8,21,0,0,11
25,18,43,14,0.9,0,89.8,0,3.3,0,22.2,0,22,19.2,0,3
7,4,79,11,3.8,0,92.7,0,3.5,0,19.8,0,6.1,0.3,0,3
11,4,68,18,3.3,0,96.7,0,0,18.9,0,17.4,13.5,0,0,14
4,0,82,14,7.9,0,87.3,0,4.8,16.1,0,19.2,0,15.9,13.3,12
36,14,29,21,7.4,0,87.2,0,5.4,0,21.7,0,17.4,14.5,0.5,5
21,18,46,14,1.6,0,96.1,0,2.3,0,18.7,0,22.1,16,0,3
4,4,71,21,1.3,0,97.3,0,1.4,0,16.8,0,22.4,13.8,0,3
4,11,68,18,4.8,0,93,0,2.2,17.2,0,22.7,0,23.2,14,13
4,14,61,21,4.7,0,88.3,0,7,17,0,20.5,0,20.6,15.7,3
7,14,43,36,1.4,0,98.6,0,0,18.7,0,20.4,15.6,0,0,3
4,14,39,43,2.2,0,92.9,0,4.9,0,20.1,17.4,0,21.8,18.8,3
7,4,71,18,3.1,0,94.2,0,2.7,0,18.3,0,24,17,1.4,3
11,7,61,21,93,0,7,0,17.1,0,0,22,17.4,0.7,0,5
11,7,64,18,7.5,0,92.5,0,0,18.6,0,24,22.6,0,0,3
4,4,82,11,8.5,0,86.5,0,5,15.8,0,21.5,0,26.2,17.9,13
11,7,82,0,1.5,0,87.3,0,11.2,0,27.4,26.4,0,21,17.6,13
