durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_rojo,color_rojo_caoba,color_caoba,color_negro,color_caoba_oscuro,brix_rojo,brix_caoba_oscuro,brix_caoba,brix_negro,Temperatura_Ambiente,Temperatura_Pulpa,Variety
3,6,85,6,0,0,15,18,67,0,23.4,21.4,0,28.9,18,15
3,3,86,8,0,0,2,18,80,0,22.8,0,25.1,29.4,23,15
10.7,10.7,32.2,46.4,0,0,26,22,52,0,22.1,19.2,0,26,22.9,3
8.8,23.5,38.2,29.5,0,3,62,0,35,0,19.7,17.6,0,28,23.2,3
0,7.1,64.3,28.6,0,10,75.8,0,14.2,0,21.2,19.8,0,26.7,20,3
0,3,85,12,0,0,3,53,44,0,21.2,0,24.9,24.8,19.4,2
3,6,79,12,0,0,3,38,59,0,19.6,0,23.1,24.2,19,2
0,6,79,15,0,0,0,70,30,0,19.4,0,23.3,27.8,18.7,2
3,6,79,12,0,0,0,71,29,0,23.1,0,27.6,26.8,18,2
0,0,82.1,17.9,0,5,79.6,0,15.4,0,22.1,20,0,27.5,22,5
8.8,20.7,38.2,32.3,0,15.5,67.1,0,17.4,0,0,16.6,0,25.7,16,5
14.7,20.5,38.4,26.4,0,7,75.1,0,17.9,0,20.5,17.7,0,23,15,5
3,9,76,12,0,0,29,0,71,0,22,19.3,0,21.5,19.7,15
3.6,14.3,53.5,28.6,0,5.3,67.5,0,27.2,0,21.5,19.6,0,27.4,20,3
7.1,7.1,60.8,25,0,5.9,59.1,0,35,0,21.7,18.2,0,26.2,22,3
0,10.7,75,14.3,0,16.7,53.3,0,30,0,21.3,18.9,0,28.3,23,3
7.1,18.6,25,39.3,0,0,7.8,19.4,72.8,0,18.3,0,21.5,26,24,3
0,3,82,15,19,25,56,0,0,0,0,21.2,0,23.4,20,5
0,15,68,18,12,41,38,0,9,0,0,20.9,0,26.5,16,5
10.7,21.4,42.9,25,0,7,76.5,0,16.5,0,19.9,18.5,0,24,19.6,5
3,15,53,29,0,0,71,8,21,0,22.4,19.8,0,28.6,24,5
0,18,58,24,0,6,74,0,20,0,20.7,18.7,0,24.5,19,5
12,15,56,18,0,9,71,0,20,0,22,17.9,0,18.6,17,5
9,12,44,35,0,12,73,0,15,0,21.5,18.7,0,23,18,5
9,18,53,20,0,15,75,0,10,0,0,22.1,0,25.4,22,5
3,21,50,26,0,21,61,0,18,0,0,22.7,0,25.4,21,5
3,9,47,41,0,6,76,0,18,0,18.7,16.4,0,27.7,19.1,5
9,24,35,32,0,18,55,0,27,0,20.3,18.9,0,26.9,24.5,5
16,22,15,47,0,3,68,0,29,0,20.2,18.7,0,25,20,5
15,18,41,26,0,3,35,0,62,0,18.4,17.9,0,27.7,20.8,5
9,18,38,35,0,12,38,0,50,0,20.5,19.2,0,27.2,19,5
3.6,14.3,53.5,28.6,0,11.5,83.5,0,5,0,0,21.3,0,23,20,5
0,11,46,43,0,16,79.1,0,4.9,0,0,21.4,0,26.4,23.6,5
3.5,25,43,28.5,0,4.3,88.9,0,6.8,0,21.8,19.7,0,25.2,18,5
0,7,79,14,0,3.9,84.9,0,11.2,0,20.4,19.3,0,23.5,21.5,5
3,3,83,10,6,15,79,0,0,0,0,21.1,0,26.2,21,5
4,14,61,21,0,11.9,85.4,0,2.7,0,0,26.3,0,19.8,18,13
4,21,54,21,0,12,82,0,6,0,0,24,0,27.4,21.6,13
3.5,14.2,60.9,21.4,0,11.6,71.5,0,16.9,0,22.8,21,0,29.4,26,13
0,10,77,13,0,9.6,74.8,0,15.6,0,23.1,18.9,0,24,18,13
0,0,97,3,0,41,56,0,3,0,0,23.8,0,0,28.8,13
0,3,82,15,0,24,70,0,6,0,0,23.6,0,30.2,20,13
0,10.7,78.6,10.7,2.8,15.6,76.7,0,4.9,0,0,20.7,0,19.2,16.5,12
3.6,21.4,53.6,21.4,4.8,22.9,69.8,0,2.5,0,0,21.5,0,19.2,22.1,12
13.3,19.2,26.9,40.6,4.1,82,10.3,0,3.6,0,0,22.7,0,19,19,12
3.6,3.6,67.8,25,0,4.5,76.3,0,19.2,0,23.5,18,0,23,15.3,12
0,3.6,42.8,53.6,1.7,18.7,71.4,0,8.2,0,0,23.3,0,28,22,12
0,7.1,71.5,21.4,3,9,85,0,3,0,0,23.3,0,26,24,12
0,0,46.4,53.6,0,11,56,4,29,0,21,17.4,0,28,25,12
